cstat_name,donation_name,eid,eid_cnt,output_filename
HOWARD HUGHES CORP,HOWARD HUGHES CORP,[4690],1,HOWARD_HUGHES_CORP.csv
ESQUIRE COMMUNICATIONS LTD,ESQUIRE COMMUNICATIONS LTD,[2498110],1,ESQUIRE_COMMUNICATIONS_LTD.csv
TROY GROUP INC,TROY GROUP INC,"[2363078, 16667]",2,TROY_GROUP_INC.csv
HOME DIAGNOSTICS INC,HOME DIAGNOSTICS INC,[1539937],1,HOME_DIAGNOSTICS_INC.csv
ALPINE GROUP INC,ALPINE GROUP INC,[6517199],1,ALPINE_GROUP_INC.csv
ESSEX CORP,ESSEX CORP,[9926273],1,ESSEX_CORP.csv
TCF FINANCIAL CORP,TCF FINANCIAL CORP,[3650578],1,TCF_FINANCIAL_CORP.csv
HOME PROPERTIES INC,HOME PROPERTIES INC,"[4664037, 4862462]",2,HOME_PROPERTIES_INC.csv
TRUECAR INC,TRUECAR INC,[22366901],1,TRUECAR_INC.csv
TEAM INC,TEAM INC,[8386331],1,TEAM_INC.csv
HOMEFED CORP,HOMEFED CORP,[269826],1,HOMEFED_CORP.csv
TRUEBLUE INC,TRUEBLUE INC,"[243907, 13802044]",2,TRUEBLUE_INC.csv
TRUE NORTH COMMUNICATIONS,TRUE NORTH COMMUNICATIONS,[7942796],1,TRUE_NORTH_COMMUNICATIONS.csv
TROVER SOLUTIONS INC,TROVER SOLUTIONS INC,[16666],1,TROVER_SOLUTIONS_INC.csv
ZYMOGENETICS INC,ZYMOGENETICS INC,[3053188],1,ZYMOGENETICS_INC.csv
KBR INC,KBR INC,[5010764],1,KBR_INC.csv
KB HOME,KB HOME,[3907],1,KB_HOME.csv
TROPICANA ENTERTAINMENT INC,TROPICANA ENTERTAINMENT INC,[9695825],1,TROPICANA_ENTERTAINMENT_INC.csv
HOOPER HOLMES INC,HOOPER HOLMES INC,[10069616],1,HOOPER_HOLMES_INC.csv
TECHNOLOGY RESEARCH CORP,TECHNOLOGY RESEARCH CORP,[4348013],1,TECHNOLOGY_RESEARCH_CORP.csv
KAISER VENTURES INC,KAISER VENTURES INC,[2345101],1,KAISER_VENTURES_INC.csv
HORIZON MEDICAL PRODUCTS INC,HORIZON MEDICAL PRODUCTS INC,[7818135],1,HORIZON_MEDICAL_PRODUCTS_INC.csv
HORIZON ORGANIC HOLDING CORP,HORIZON ORGANIC HOLDING CORP,[5839354],1,HORIZON_ORGANIC_HOLDING_CORP.csv
1ST UNITED BANCORP INC,1ST UNITED BANCORP INC,[367796],1,1ST_UNITED_BANCORP_INC.csv
TELADOC INC,TELADOC INC,[24576299],1,TELADOC_INC.csv
XEROX CORP,XEROX CORP,[2909],1,XEROX_CORP.csv
AMC ENTERTAINMENT INC,AMC ENTERTAINMENT INC,[4748719],1,AMC_ENTERTAINMENT_INC.csv
TEMPLE-INLAND INC,TEMPLE-INLAND INC,[24576049],1,TEMPLEINLAND_INC.csv
JORDAN INDUSTRIES INC,JORDAN INDUSTRIES INC,[7472537],1,JORDAN_INDUSTRIES_INC.csv
JUSTIN INDUSTRIES,JUSTIN INDUSTRIES,[11041858],1,JUSTIN_INDUSTRIES.csv
JOY GLOBAL INC,JOY GLOBAL INC,"[10791534, 37133576]",2,JOY_GLOBAL_INC.csv
AMCORE FINANCIAL INC,AMCORE FINANCIAL INC,[27655562],1,AMCORE_FINANCIAL_INC.csv
TRAMMELL CROW CO,TRAMMELL CROW CO,[2631],1,TRAMMELL_CROW_CO.csv
IDACORP INC,IDACORP INC,[39487081],1,IDACORP_INC.csv
CORRECTIONAL SERVICES CORP,CORRECTIONAL SERVICES CORP,[1138216],1,CORRECTIONAL_SERVICES_CORP.csv
IDAHO POWER CO,IDAHO POWER CO,[7145],1,IDAHO_POWER_CO.csv
XPERI CORPORATION,XPERI CORPORATION,[44102481],1,XPERI_CORPORATION.csv
HUNTWAY REFINING CO,HUNTWAY REFINING CO,[1874308],1,HUNTWAY_REFINING_CO.csv
TELULAR CORP,TELULAR CORP,[2907428],1,TELULAR_CORP.csv
AMEDISYS INC,AMEDISYS INC,[102],1,AMEDISYS_INC.csv
ICOS CORP,ICOS CORP,[3355341],1,ICOS_CORP.csv
TELLURIAN INC,TELLURIAN INC,"[43179961, 45094109, 45243190]",3,TELLURIAN_INC.csv
AMERIGROUP CORP,AMERIGROUP CORP,[191],1,AMERIGROUP_CORP.csv
AMEREN CORP,AMEREN CORP,[5745],1,AMEREN_CORP.csv
IBP INC,IBP INC,"[4584709, 4562056, 11098506, 9934255, 4588719]",5,IBP_INC.csv
TENNECO INC,TENNECO INC,[10071088],1,TENNECO_INC.csv
HYBRID NETWORKS INC,HYBRID NETWORKS INC,[5081445],1,HYBRID_NETWORKS_INC.csv
IKON OFFICE SOLUTIONS,IKON OFFICE SOLUTIONS,"[3471231, 5902078, 3456196, 9032508, 5834920, 8740624]",6,IKON_OFFICE_SOLUTIONS.csv
TRACK DATA CORP,TRACK DATA CORP,[5054121],1,TRACK_DATA_CORP.csv
XILINX INC,XILINX INC,"[40614032, 1602384]",2,XILINX_INC.csv
K12 INC,K12 INC,[7334],1,K12_INC.csv
IEC ELECTRONICS CORP,IEC ELECTRONICS CORP,[4662025],1,IEC_ELECTRONICS_CORP.csv
TELEDYNE TECHNOLOGIES INC,TELEDYNE TECHNOLOGIES INC,[5761121],1,TELEDYNE_TECHNOLOGIES_INC.csv
ZILOG INC,ZILOG INC,[8106380],1,ZILOG_INC.csv
IBI GROUP INC,IBI GROUP INC,[59274],1,IBI_GROUP_INC.csv
TRANS WORLD AIRLINES,TRANS WORLD AIRLINES,"[4542577, 4623252]",2,TRANS_WORLD_AIRLINES.csv
WASTE MANAGEMENT INC,WASTE MANAGEMENT INC.,[32645464],1,WASTE_MANAGEMENT_INC.csv
LAREDO OIL INC,LAREDO OIL INC.,[20845379],1,LAREDO_OIL_INC.csv
XG TECHNOLOGY INC,XG TECHNOLOGY INC.,[27768322],1,XG_TECHNOLOGY_INC.csv
BIDZ.COM INC,BIDZ.COM INC.,[22346146],1,BIDZCOM_INC.csv
ACASTA ENTERPRISES INC,ASTA ENTERPRISES INC,[5582254],1,ASTA_ENTERPRISES_INC.csv
CLARK INC,CLARK INC.,[29172940],1,CLARK_INC.csv
INTERACTIVE MEDIA TECH,INTERACTIVE MEDIA TE,[2365246],1,INTERACTIVE_MEDIA_TE.csv
INDIANAPOLIS POWER & LIGHT,INDIANAPOLIS POWER & LIGHT CO,[7198],1,INDIANAPOLIS_POWER_LIGHT_CO.csv
HILTON GRAND VACATIONS,HILTON GRAND VACATIONS CO,[5994217],1,HILTON_GRAND_VACATIONS_CO.csv
GREAT LAKES DREDGE & DOCK CP,GREAT LAKES DREDGE & DOCK,[43855335],1,GREAT_LAKES_DREDGE_DOCK.csv
EQUITY OFFICE PROPERTIES TR,EQUITY OFFICE PROPERTIES,"[579739, 8712745]",2,EQUITY_OFFICE_PROPERTIES.csv
TENNESSEE GAS PIPELINE CO,TENNESSEE GAS PIPELINE,[16405],1,TENNESSEE_GAS_PIPELINE.csv
PERFORMANCE FOOD GROUP CO,PERFORMANCE FOOD GROUP,[4923724],1,PERFORMANCE_FOOD_GROUP.csv
PORTLAND GENERAL ELECTRIC CO,PORTLAND GENERAL ELECTRIC,[8553],1,PORTLAND_GENERAL_ELECTRIC.csv
INSIGHT COMMUNICATIONS CO,INSIGHT COMMUNICATIONS,[1319],1,INSIGHT_COMMUNICATIONS.csv
AMERISERV FINANCIAL INC/PA,AMERISERV FINANCIAL INC,[23410099],1,AMERISERV_FINANCIAL_INC.csv
HOUGHTON MIFFLIN HARCOURT CO,HOUGHTON MIFFLIN HARCOURT,[1271],1,HOUGHTON_MIFFLIN_HARCOURT.csv
COMMUNITY BANKSHARES INC/SC,COMMUNITY BANKSHARES INC,[7521888],1,COMMUNITY_BANKSHARES_INC.csv
LIONS GATE ENTERTAINMENT CP,LIONS GATE ENTERTAINMENT,[599168],1,LIONS_GATE_ENTERTAINMENT.csv
LIGAND PHARMACEUTICAL INC,LIGAND PHARMACEUTICALS INC,[2537962],1,LIGAND_PHARMACEUTICALS_INC.csv
NORTHSTAR REALTY FINANCE CP,NORTHSTAR REALTY FINANCE,[4574975],1,NORTHSTAR_REALTY_FINANCE.csv
GOODYEAR TIRE & RUBBER CO,GOODYEAR TIRE & RUBBER,[2599991],1,GOODYEAR_TIRE_RUBBER.csv
FLORIDA PUBLIC UTILITIES CO,FLORIDA PUBLIC UTILITIES,"[24887894, 518519]",2,FLORIDA_PUBLIC_UTILITIES.csv
INDIANA MICHIGAN POWER CO,INDIANA MICHIGAN POWER,[303490],1,INDIANA_MICHIGAN_POWER.csv
AMERICAN BUSINESS BANK/CA,AMERICAN BUSINESS BANK,[1627158],1,AMERICAN_BUSINESS_BANK.csv
PACIFIC ENTERPRISES INC,PACIFICA ENTERPRISES INC,[2472731],1,PACIFICA_ENTERPRISES_INC.csv
TELEX COMMUNICATIONS INC,TELE COMMUNICATIONS INC,"[2514977, 3424901, 2539973]",3,TELE_COMMUNICATIONS_INC.csv
JOHNSTON INDUSTRIES/DE,JOHNSTON INDUSTRIES,[7629716],1,JOHNSTON_INDUSTRIES.csv
SWIFT TRANSPORTATION CO,SWIFT TRANSPORTATION,[2567650],1,SWIFT_TRANSPORTATION.csv
LAUREATE EDUCATION INC,LAUREAT EDUCATION INC,[5288804],1,LAUREAT_EDUCATION_INC.csv
FLORIDA POWER & LIGHT CO,FLORIDA POWER & LIGHT,[3741],1,FLORIDA_POWER_LIGHT.csv
NORFOLK SOUTHERN CORP,NORFOLK SOUTHER CORP,[8349219],1,NORFOLK_SOUTHER_CORP.csv
TECHNOLOGY SOLUTIONS CO,TECHNOLOGY SOLUTIONS,[26735119],1,TECHNOLOGY_SOLUTIONS.csv
FIRST MORTGAGE CORP/CA,FIRST MORTGAGE CORP,"[2386433, 3616291]",2,FIRST_MORTGAGE_CORP.csv
COOPER TIRE & RUBBER CO,COOPER TIRE & RUBBER,[684],1,COOPER_TIRE_RUBBER.csv
FIRST FINANCIAL CORP/RI,FIRST FINANCIAL CORP,"[6991330, 7961395, 7969203]",3,FIRST_FINANCIAL_CORP.csv
CAE INC,CAE INC.,[17624317],1,CAE_INC.csv
FIRST GUARANTY BANCSHARES,FIRST GUARANTY BANCSHARES INC,[8208835],1,FIRST_GUARANTY_BANCSHARES_INC.csv
PETER KIEWIT SONS INC,PETER KIEWIT SONS' INC,[43472431],1,PETER_KIEWIT_SONS_INC.csv
COMMUNITY BANCORP INC/VT,COMMUNITY BANCORP INC,[26733701],1,COMMUNITY_BANCORP_INC.csv
COMMUNITY CAPITAL BANCSHARES,COMMUNITY CAPITAL BANCSHARES PAC,[7213653],1,COMMUNITY_CAPITAL_BANCSHARES_PAC.csv
COLUMBIA SPORTSWEAR CO,COLUMBIA SPORTSWEAR,[642],1,COLUMBIA_SPORTSWEAR.csv
MAY DEPARTMENT STORES CO,MAY DEPARTMENT STORES,"[7714, 11111799]",2,MAY_DEPARTMENT_STORES.csv
COMMONWEALTH EDISON CO,COMMONWEALTH EDISON,[11258],1,COMMONWEALTH_EDISON.csv
GEOGLOBAL RESOURCES INC,GLOBAL RESOURCES INC,"[8458446, 8385367]",2,GLOBAL_RESOURCES_INC.csv
CHEVY CHASE BANK FSB,CHEVY CHASE BANK FSB MD,[40616625],1,CHEVY_CHASE_BANK_FSB_MD.csv
SOUTHERN NATURAL GAS CO,SOUTHERN NATURAL GAS,[16078],1,SOUTHERN_NATURAL_GAS.csv
COLLINS & AIKMAN CORP,COLLINS & AIKMAN CORP PA,[6907549],1,COLLINS_AIKMAN_CORP_PA.csv
AMERICAN ARCHITECTURAL PROD,AMERICAN ARCHITECTURAL PRODUCTS,[5190481],1,AMERICAN_ARCHITECTURAL_PRODUCTS.csv
HCP INC,HHCP INC,[2011248],1,HHCP_INC.csv
SIERRA PACIFIC POWER CO,SIERRA PACIFIC POWER,"[2384, 14828816]",2,SIERRA_PACIFIC_POWER.csv
EMERGENT BIOSOLUTIONS INC,EMERGENT BIOSOLUTIONS INC PAC,[31690918],1,EMERGENT_BIOSOLUTIONS_INC_PAC.csv
CITADEL BROADCASTING CO,CITADEL BROADCASTING,"[27321772, 40632195, 32239880, 7152433]",4,CITADEL_BROADCASTING.csv
MWI VETERINARY SUPPLY,MWI VETERINARY SUPPLY CO,[24855476],1,MWI_VETERINARY_SUPPLY_CO.csv
INTERACTIVE INTELLIGENCE GRP,INTERACTIVE INTELLIGENCE,[7310010],1,INTERACTIVE_INTELLIGENCE.csv
HUNTSMAN INTERNATIONAL LLC,HUNTSMAN INTERNATIONAL,[19937673],1,HUNTSMAN_INTERNATIONAL.csv
AIRTOUCH COMMUNICATIONS INC,AIRTOUCH COMMUNICATIONS,[65],1,AIRTOUCH_COMMUNICATIONS.csv
MONDELEZ INTERNATIONAL INC,MONDELEZ INTERNATIONAL,[16002660],1,MONDELEZ_INTERNATIONAL.csv
SAGENT PHARMACEUTICALS INC,SAGENT PHARMACEUTICALS,[19927086],1,SAGENT_PHARMACEUTICALS.csv
COMMONWEALTH BANCORP INC,COMMONWEALTH BANCORP INC PAC,[5663554],1,COMMONWEALTH_BANCORP_INC_PAC.csv
GRAND CANYON EDUCATION INC,GRAND CANYON EDUCATION,[10941489],1,GRAND_CANYON_EDUCATION.csv
ARES CAPITAL CORP,ANTARES CAPITAL CORP,[93682],1,ANTARES_CAPITAL_CORP.csv
SWS GROUP INC,S GROUP INC,[116538],1,S_GROUP_INC.csv
WESTMORELAND COAL CO,WESTMORELAND COAL,[6740249],1,WESTMORELAND_COAL.csv
N-VIRO INTERNATIONAL CORP,N VIRO INTERNATIONAL CORP,[5829113],1,N_VIRO_INTERNATIONAL_CORP.csv
CHARTER COMMUNICATIONS INC,CHARTER COMMUNICATIONS,[557],1,CHARTER_COMMUNICATIONS.csv
MIDAMERICAN ENERGY CO,MIDAMERICAN ENERGY,[4092],1,MIDAMERICAN_ENERGY.csv
CORPORATE EXPRESS NV,CORPORATE EXPRESS,"[27332369, 6918702, 1801572, 27330484, 27325982]",5,CORPORATE_EXPRESS.csv
MID-ATLANTIC REALTY TRUST,MID ATLANTIC REALTY TRUST,[5373870],1,MID_ATLANTIC_REALTY_TRUST.csv
COAST HOTELS & CASINOS INC,COAST HOTELS & CASINOS,[3410],1,COAST_HOTELS_CASINOS.csv
OCEAN POWER TECHNOLOGIES INC,OCEAN POWER TECHNOLOGIES,[4982139],1,OCEAN_POWER_TECHNOLOGIES.csv
AMERCO,AAMERCO,[8463245],1,AAMERCO.csv
DOLLAR FINANCIAL GROUP INC,DOLLAR FINANCIAL GROUP,[821],1,DOLLAR_FINANCIAL_GROUP.csv
FIRST HEALTH GROUP CORP,FIRST HEALTH GROUP CORP PAC,[12023917],1,FIRST_HEALTH_GROUP_CORP_PAC.csv
TEMCO SERVICE INDUSTRIES INC,TEMCO SERVICE INDUSTRIES,[5459412],1,TEMCO_SERVICE_INDUSTRIES.csv
NATIONAL FUEL GAS CO,NATIONAL FUEL GAS,"[14414, 39027227]",2,NATIONAL_FUEL_GAS.csv
THOMAS WEISEL PARTNERS GRP,THOMAS WEISEL PARTNERS,[2355915],1,THOMAS_WEISEL_PARTNERS.csv
ECC INTERNATIONAL CP,ECC INTERNATIONAL,"[7616237, 7364301, 5674991]",3,ECC_INTERNATIONAL.csv
RMR GROUP INC,R GROUP INC,"[29918306, 16534906]",2,R_GROUP_INC.csv
ROYAL HAWAIIAN ORCHARDS-LP,ROYAL HAWAIIAN ORCHARDS LP,[16673271],1,ROYAL_HAWAIIAN_ORCHARDS_LP.csv
LIBERTY MUTUAL INSURANCE GRP,LIBERTY MUTUAL INSURANCE,[1540],1,LIBERTY_MUTUAL_INSURANCE.csv
TEXAS NEW MEXICO POWER CO,TEXAS-NEW MEXICO POWER CO,[9195762],1,TEXASNEW_MEXICO_POWER_CO.csv
VARIAN MEDICAL SYSTEMS INC,VARIAN MEDICAL SYSTEMS,"[19319741, 65402]",2,VARIAN_MEDICAL_SYSTEMS.csv
PENNSYLVANIA POWER CO,PENNSYLVANIA POWER,"[5761262, 39328606]",2,PENNSYLVANIA_POWER.csv
VERTEX PHARMACEUTICALS INC,VERTEX PHARMACEUTICALS,[10653536],1,VERTEX_PHARMACEUTICALS.csv
OUTSOURCE INTERNATIONAL INC,OUTSOURCE INTERNATIONAL,"[2301786, 2391564]",2,OUTSOURCE_INTERNATIONAL.csv
CLASSIC COMMUNICATIONS INC,CLASSIC COMMUNICATIONS,[9100416],1,CLASSIC_COMMUNICATIONS.csv
STORAGE TECHNOLOGY CP,STORAGE TECHNOLOGY,[3551864],1,STORAGE_TECHNOLOGY.csv
HILB ROGAL & HOBBS CO,HILB ROGAL & HOBBS,"[6130960, 8886746, 5290607, 7167822]",4,HILB_ROGAL_HOBBS.csv
BLACKSTONE GROUP LP,BLACKSTONE GROUP,[190471],1,BLACKSTONE_GROUP.csv
AVALONBAY COMMUNITIES INC,AVALONBAY COMMUNITIES,[10178],1,AVALONBAY_COMMUNITIES.csv
EL PASO ELECTRIC CO,EL PASO ELECTRIC,[9335694],1,EL_PASO_ELECTRIC.csv
HAIN CELESTIAL GROUP INC,HAIN CELESTIAL GROUP,[105356],1,HAIN_CELESTIAL_GROUP.csv
HOMESTAKE MINING,HOMESTAKE MINING CO,[2524519],1,HOMESTAKE_MINING_CO.csv
CHAMPION ENTERPRISES INC,CHAMPION ENTERPRISES,[11153875],1,CHAMPION_ENTERPRISES.csv
UNITED ROAD SERVICES INC,UNITED ROAD SERVICES,[1920838],1,UNITED_ROAD_SERVICES.csv
SEABULK INTERNATIONAL INC,SEABULK INTERNATIONAL,[41753989],1,SEABULK_INTERNATIONAL.csv
CAESARS ENTERTAINMENT INC,CAESARS ENTERTAINMENT,[6137],1,CAESARS_ENTERTAINMENT.csv
PSYCHIATRIC SOLUTIONS INC,PSYCHIATRIC SOLUTIONS,[2128],1,PSYCHIATRIC_SOLUTIONS.csv
PLASTIC SURGERY CO,PLASTIC SURGERY,[7294024],1,PLASTIC_SURGERY.csv
ATN INTERNATIONAL INC,ATN INTERNATIONAL INC ATN,[42469907],1,ATN_INTERNATIONAL_INC_ATN.csv
MAXWELL TECHNOLOGIES INC,MAXWELL TECHNOLOGIES,[2527749],1,MAXWELL_TECHNOLOGIES.csv
TRIUMPH GROUP INC,TRIUMP GROUP INC,[24787774],1,TRIUMP_GROUP_INC.csv
SONUS PHARMACEUTICALS INC,SONUS PHARMACEUTICALS,[4122475],1,SONUS_PHARMACEUTICALS.csv
DELTA BEVERAGE GROUP INC,DELTA BEVERAGE GROUP,[6542],1,DELTA_BEVERAGE_GROUP.csv
MERIT MEDICAL SYSTEMS INC,MERIT MEDICAL SYSTEMS,"[7759, 24769225]",2,MERIT_MEDICAL_SYSTEMS.csv
AMERIPRISE FINANCIAL INC,AMERIPRISE FINANCIAL,[4852442],1,AMERIPRISE_FINANCIAL.csv
FREQUENCY ELECTRONICS INC,FREQUENCY ELECTRONICS,[5554510],1,FREQUENCY_ELECTRONICS.csv
PAULA FINANCIAL/DE,PAULA FINANCIAL,[5828951],1,PAULA_FINANCIAL.csv
SANDATA TECHNOLOGIES INC,SANDATA TECHNOLOGIES,[4474083],1,SANDATA_TECHNOLOGIES.csv
EMERSON ELECTRIC CO,EMERSON ELECTRIC,[3612],1,EMERSON_ELECTRIC.csv
VULCAN MATERIALS CO,VULCAN MATERIALS,[9397],1,VULCAN_MATERIALS.csv
W&T OFFSHORE INC,W&T; OFFSHORE INC,[8583449],1,WT_OFFSHORE_INC.csv
FORESIGHT ENERGY LP,FORESIGHT ENERGY,[382420],1,FORESIGHT_ENERGY.csv
INTERNATIONAL SEAWAYS INC,INTERNATIONAL SEAWAYS,[1343362],1,INTERNATIONAL_SEAWAYS.csv
ACADIA HEALTHCARE CO INC,ACADIA HEALTHCARE CO,[16208863],1,ACADIA_HEALTHCARE_CO.csv
LG&E ENERGY CORP,LG&E; ENERGY CORP,[7522],1,LGE_ENERGY_CORP.csv
COVENTRY HEALTH CARE INC,COVENTRY HEALTH CARE,[709],1,COVENTRY_HEALTH_CARE.csv
SWISHER INTERNATIONAL INC,SWISHER INTERNATIONAL,[2533],1,SWISHER_INTERNATIONAL.csv
RAMSAY YOUTH SERVICES INC,RAMSAY YOUTH SERVICES,[1604597],1,RAMSAY_YOUTH_SERVICES.csv
MORGANS FOODS INC,MORGAN FOODS INC,[7095258],1,MORGAN_FOODS_INC.csv
COMMERCIAL BANK/NY,COMMERCIAL BANK,"[3691566, 1816170, 5531486, 4294716, 9890621, 8971968, 10734016, 8365642, 7924071, 19685545, 10969517]",11,COMMERCIAL_BANK.csv
JAMES RIVER COAL CO,JAMES RIVER COAL,[10855231],1,JAMES_RIVER_COAL.csv
GOLDEN ENTERTAINMENT INC,GOLDEN ENTERTAINMENT,[39448275],1,GOLDEN_ENTERTAINMENT.csv
GRANITE CONSTRUCTION INC,GRANITE CONSTRUCTION,"[3807, 1600116, 24783290, 1266843]",4,GRANITE_CONSTRUCTION.csv
TOTAL SYSTEM SERVICES INC,TOTAL SYSTEM SERVICES,"[16616, 24718444]",2,TOTAL_SYSTEM_SERVICES.csv
SUNRISE SENIOR LIVING INC,SUNRISE SENIOR LIVING,[2515],1,SUNRISE_SENIOR_LIVING.csv
SYNAGRO TECHNOLOGIES INC,SYNAGRO TECHNOLOGIES,[2305076],1,SYNAGRO_TECHNOLOGIES.csv
ALASKA AIR GROUP INC,ALASKA AIR GROUP INC PAC,[32142544],1,ALASKA_AIR_GROUP_INC_PAC.csv
PARKS AMERICA INC,PARK AMERICA INC,[4638706],1,PARK_AMERICA_INC.csv
SC HOLDINGS CORP,SCV HOLDINGS CORP,[1441854],1,SCV_HOLDINGS_CORP.csv
CENTURY ALUMINUM CO,CENTURY ALUMINUM,[7787626],1,CENTURY_ALUMINUM.csv
PACIFIC DRILLING SA,PACIFIC DRILLING,[10134705],1,PACIFIC_DRILLING.csv
BRIDGEPOINT EDUCATION INC,BRIDGEPOINT EDUCATION,[30347],1,BRIDGEPOINT_EDUCATION.csv
WINN-DIXIE STORES INC,WINN DIXIE STORES INC,[4388811],1,WINN_DIXIE_STORES_INC.csv
ESTERLINE TECHNOLOGIES CORP,ESTERLINE TECHNOLOGIES,[4346442],1,ESTERLINE_TECHNOLOGIES.csv
POLARIS INDUSTRIES INC,POLARIS INDUSTRIES,[321349],1,POLARIS_INDUSTRIES.csv
EMONS TRANSPORATION GROUP,EMONS TRANSPORTATION GROUP,[10052297],1,EMONS_TRANSPORTATION_GROUP.csv
WILLIAMS INDUSTRIES INC,WILLIAMS INDUSTRIES,"[8055065, 7160434]",2,WILLIAMS_INDUSTRIES.csv
PRECISION PARTNERS INC,PRECISION PARTNERS,[3403462],1,PRECISION_PARTNERS.csv
PRIMEX TECHNOLOGIES INC,PRIMEX TECHNOLOGIES,"[3598865, 2371436]",2,PRIMEX_TECHNOLOGIES.csv
BRANDPARTNERS GROUP INC,BRANDPARTNERS GROUP,[5455648],1,BRANDPARTNERS_GROUP.csv
BRIGHTSOURCE ENERGY INC-REDH,BRIGHTSOURCE ENERGY INC,[79985],1,BRIGHTSOURCE_ENERGY_INC.csv
WIND RIVER SYSTEMS INC,WIND RIVER SYSTEMS,[2877],1,WIND_RIVER_SYSTEMS.csv
ZHONE TECHNOLOGIES INC,ZHONE TECHNOLOGIES,[107163],1,ZHONE_TECHNOLOGIES.csv
BOISE CASCADE CO,BOISE CASCADE,[3248],1,BOISE_CASCADE.csv
EMPIRE DISTRICT ELECTRIC CO,EMPIRE DISTRIC ELECTRIC CO,[39815537],1,EMPIRE_DISTRIC_ELECTRIC_CO.csv
ABRAXIS BIOSCIENCE INC,ABRAXIS BIOSCIENCE,[9781],1,ABRAXIS_BIOSCIENCE.csv
PHARMACIA & UPJOHN INC,PHARMACIA & UPJOHN,[4266],1,PHARMACIA_UPJOHN.csv
FBL FINANCIAL GROUP INC-CL A,FBL FINANCIAL GROUP INC,[21197035],1,FBL_FINANCIAL_GROUP_INC.csv
ENERGY FUTURE HOLDINGS CORP,ENERGY FUTURE HOLDINGS,[10717227],1,ENERGY_FUTURE_HOLDINGS.csv
SWEDISH MATCH AB,SWEDISH MATCH,[16315],1,SWEDISH_MATCH.csv
ORMAT TECHNOLOGIES INC,ORMAT TECHNOLOGIES,[1387711],1,ORMAT_TECHNOLOGIES.csv
APOGENT TECHNOLOGIES INC,APOGEN TECHNOLOGIES INC,"[6072845, 5919894]",2,APOGEN_TECHNOLOGIES_INC.csv
MEDIAN GROUP INC,MEDIA GROUP INC,[2171619],1,MEDIA_GROUP_INC.csv
ION MEDIA NETWORKS INC,ION MEDIA NETWORKS,"[24725755, 29546110]",2,ION_MEDIA_NETWORKS.csv
SILVERLEAF RESORTS INC,SILVERLEAF RESORTS,[3561621],1,SILVERLEAF_RESORTS.csv
TYLER TECHNOLOGIES INC,TYLER TECHNOLOGIES,[5154099],1,TYLER_TECHNOLOGIES.csv
APPLIED BIOSYSTEMS INC,APPLIED BIOSYSTEMS,[31030],1,APPLIED_BIOSYSTEMS.csv
CHOICE ONE COMMUNICATION INC,CHOICE ONE COMMUNICATIONS INC,[5952253],1,CHOICE_ONE_COMMUNICATIONS_INC.csv
ALLFIRST FINANCIAL INC,ALLFIRST FINANCIAL,[5723],1,ALLFIRST_FINANCIAL.csv
CITATION CORP/AL,CITATION CORP,[7353877],1,CITATION_CORP.csv
DEUTSCHE BANK AG,DEUTSCHE BANK,[2003682],1,DEUTSCHE_BANK.csv
DIAMOND OFFSHRE DRILLING INC,DIAMOND OFFSHORE DRILLING INC,[9628943],1,DIAMOND_OFFSHORE_DRILLING_INC.csv
AVALARA INC,ALARA INC,[2233888],1,ALARA_INC.csv
COX COMMUNICATIONS INC,COX COMMUNICATIONS,[6458],1,COX_COMMUNICATIONS.csv
GRUBB & ELLIS CO,GRUBB & ELLIS,[1163],1,GRUBB_ELLIS.csv
ALEXANDER & BALDWIN INC,ALEXANDER & BALDWIN,[81],1,ALEXANDER_BALDWIN.csv
STRATUS PROPERTIES INC,STRATUS PROPERTIES,[11052080],1,STRATUS_PROPERTIES.csv
TRUSTCO BANK CORP/NY,TRUSTCO BANK CORP NY,[5966943],1,TRUSTCO_BANK_CORP_NY.csv
SCHNEIDER NATIONAL INC,SCHNEIDER NATIONAL,[10712326],1,SCHNEIDER_NATIONAL.csv
ARCH CAPITAL GROUP LTD,ARCH CAPITAL GROUP,"[19570856, 10813352]",2,ARCH_CAPITAL_GROUP.csv
STARS GROUP INC,STAR GROUP INC,"[6787113, 2375673, 41485328]",3,STAR_GROUP_INC.csv
LOUISIANA-PACIFIC CORP,LOUISIANA PACIFIC CORP,"[5525903, 8732650]",2,LOUISIANA_PACIFIC_CORP.csv
ILLINOIS POWER CO,ILLINOIS POWER,[3487],1,ILLINOIS_POWER.csv
LUCENT TECHNOLOGIES INC,LUCENT TECHNOLOGIES,[1583],1,LUCENT_TECHNOLOGIES.csv
M&F BANCORP INC,M&F; BANCORP INC,[8341485],1,MF_BANCORP_INC.csv
TRANS RESOURCES INC,TRANS-RESOURCES INC,[1291823],1,TRANSRESOURCES_INC.csv
ASHLIN DEVELOPMENT CORP,ASHLIN DEVELOPEMENT CORP,[1148662],1,ASHLIN_DEVELOPEMENT_CORP.csv
IAC/INTERACTIVECORP,IAC INTERACTIVECORP,[1430117],1,IAC_INTERACTIVECORP.csv
MARKETAXESS HOLDINGS INC,MARKETAXESS HOLDING INC,[19755868],1,MARKETAXESS_HOLDING_INC.csv
STEWART & STEVENSON LLC,STEWART & STEVENSON,[4375493],1,STEWART_STEVENSON.csv
